,movie,year,imdb_rate,metascore,votes,rating,genre,runtime_min,grosess
447,Green Lantern,2011,5.5,39,"292,225",PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,$116.60M
448,Chronicle,2012,7.0,69,"259,558",PG-13,"['Action', ' Drama', ' Sci-Fi']",84,$64.58M
449,Ant-Man and the Wasp,2018,7.0,70,"435,679",PG-13,"['Action', ' Adventure', ' Comedy']",118,$216.65M
450,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,5.9,40,"97,978",PG-13,"['Action', ' Adventure', ' Comedy']",112,$82.05M
451,Power Rangers,2017,5.9,44,"112,335",PG-13,"['Action', ' Adventure', ' Fantasy']",124,$85.36M
452,Transformers: Revenge of the Fallen,2009,5.9,35,"421,869",PG-13,"['Action', ' Adventure', ' Sci-Fi']",149,$402.11M
453,Death Race,2008,6.4,43,"215,922",R,"['Action', ' Sci-Fi', ' Thriller']",105,$36.32M
454,Super Mario Bros.,1993,4.1,35,"61,562",PG,"['Adventure', ' Comedy', ' Family']",104,$20.92M
455,The Fountain,2006,7.2,51,"245,863",PG-13,"['Drama', ' Mystery', ' Romance']",97,$10.14M
456,Home,2015,6.5,55,"108,958",PG,"['Animation', ' Adventure', ' Comedy']",94,$177.40M
457,Cloudy with a Chance of Meatballs,2009,6.9,66,"249,831",PG,"['Animation', ' Adventure', ' Comedy']",90,$124.87M
458,Transformers: Dark of the Moon,2011,6.2,42,"425,748",PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,$352.39M
459,Short Circuit,1986,6.6,50,"64,907",PG,"['Comedy', ' Family', ' Sci-Fi']",98,$40.70M
460,Cooties,2014,5.7,49,"27,839",R,"['Action', ' Comedy', ' Horror']",88,$0.06M
461,Tank Girl,1995,5.4,46,"33,782",R,"['Action', ' Comedy', ' Sci-Fi']",104,$4.06M
462,The Lawnmower Man,1992,5.4,42,"38,065",R,"['Horror', ' Sci-Fi']",108,$32.10M
463,Paprika,2006,7.7,81,"91,484",R,"['Animation', ' Drama', ' Fantasy']",90,$0.88M
464,Blast from the Past,1999,6.7,48,"69,882",PG-13,"['Comedy', ' Drama', ' Romance']",112,$26.49M
465,Cocoon,1985,6.7,65,"66,996",PG-13,"['Comedy', ' Drama', ' Sci-Fi']",117,$76.11M
466,The Island,2005,6.8,50,"323,526",PG-13,"['Action', ' Sci-Fi', ' Thriller']",136,$35.82M
467,Sorry to Bother You,2018,6.9,79,"85,789",R,"['Comedy', ' Drama', ' Fantasy']",112,$17.49M
468,Alien vs. Predator,2004,5.7,29,"208,118",PG-13,"['Action', ' Adventure', ' Horror']",101,$80.28M
469,The Animal Kingdom,2023,7.2,70,524,,"['Adventure', ' Drama', ' Sci-Fi']",130,-
470,Chaos Walking,2021,5.7,38,"54,129",PG-13,"['Action', ' Adventure', ' Fantasy']",109,$13.29M
471,Zathura: A Space Adventure,2005,6.2,67,"111,862",PG,"['Action', ' Adventure', ' Comedy']",101,$29.26M
472,Ralph Breaks the Internet,2018,7.0,71,"175,535",PG,"['Animation', ' Adventure', ' Comedy']",112,$201.09M
473,Vesper,2022,6.0,70,"19,724",Not Rated,"['Adventure', ' Drama', ' Sci-Fi']",114,-
474,From Beyond,1986,6.6,60,"29,063",R,"['Horror', ' Sci-Fi']",85,$1.26M
475,Geostorm,2017,5.3,21,"114,840",PG-13,"['Action', ' Sci-Fi', ' Thriller']",109,$33.70M
476,Tron,1982,6.7,58,"126,720",PG,"['Action', ' Adventure', ' Sci-Fi']",96,$33.00M
477,Wild Wild West,1999,4.9,38,"165,173",PG-13,"['Action', ' Comedy', ' Sci-Fi']",106,$113.81M
478,Maze Runner: The Death Cure,2018,6.2,50,"154,751",PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,$58.03M
479,Strange Days,1995,7.2,66,"76,511",R,"['Crime', ' Drama', ' Sci-Fi']",145,$7.92M
480,Criminal,2016,6.3,36,"69,065",R,"['Action', ' Sci-Fi', ' Thriller']",113,$14.27M
481,Chappie,2015,6.8,41,"264,018",R,"['Action', ' Crime', ' Drama']",120,$31.57M
482,Star Wars: The Clone Wars,2008,5.9,35,"71,093",PG,"['Animation', ' Action', ' Adventure']",98,$35.16M
483,2010: The Year We Make Contact,1984,6.7,53,"55,783",PG,"['Adventure', ' Mystery', ' Sci-Fi']",116,$40.20M
484,Colossal,2016,6.2,70,"67,798",R,"['Comedy', ' Drama', ' Fantasy']",109,$3.02M
485,Abbott and Costello Meet Frankenstein,1948,7.3,69,"18,842",Not Rated,"['Comedy', ' Family', ' Fantasy']",83,$4.80M
486,Monsters vs. Aliens,2009,6.4,56,"172,038",PG,"['Animation', ' Action', ' Adventure']",94,$198.35M
487,Predators,2010,6.4,51,"239,788",R,"['Action', ' Adventure', ' Fantasy']",107,$52.00M
488,Star Trek Into Darkness,2013,7.7,72,"492,816",PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,$228.78M
489,Spiderhead,2022,5.5,54,"63,997",R,"['Action', ' Crime', ' Drama']",106,-
490,The Bride of Frankenstein,1935,7.8,95,"51,403",Not Rated,"['Drama', ' Horror', ' Sci-Fi']",75,$4.36M
491,Snake Eyes,2021,5.4,43,"43,166",PG-13,"['Action', ' Adventure', ' Crime']",121,-
492,The Endless,2017,6.5,80,"47,433",Not Rated,"['Drama', ' Fantasy', ' Horror']",111,$0.27M
493,Books of Blood,2020,5.6,42,"9,110",TV-MA,"['Drama', ' Horror', ' Mystery']",107,-
494,G.I. Joe: Retaliation,2013,5.7,41,"185,688",PG-13,"['Action', ' Adventure', ' Sci-Fi']",110,$122.52M
495,Fantastic Four,2005,5.7,40,"339,271",PG-13,"['Action', ' Adventure', ' Fantasy']",106,$154.70M
496,Terminator Salvation,2009,6.5,49,"372,458",PG-13,"['Action', ' Adventure', ' Sci-Fi']",115,$125.32M
497,Godzilla,1998,5.4,32,"199,312",PG-13,"['Action', ' Sci-Fi', ' Thriller']",139,$136.31M
498,Leviathan,1989,5.8,51,"22,387",R,"['Adventure', ' Horror', ' Mystery']",98,$15.70M
499,Maze Runner: The Scorch Trials,2015,6.3,43,"266,658",PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,$81.70M
500,Meet the Robinsons,2007,6.8,61,"107,974",G,"['Animation', ' Adventure', ' Comedy']",95,$97.82M
501,Transcendence,2014,6.2,42,"235,969",PG-13,"['Action', ' Drama', ' Sci-Fi']",119,$23.02M
502,Despicable Me 2,2013,7.3,62,"416,431",PG,"['Animation', ' Adventure', ' Comedy']",98,$368.06M
503,The Blob,1958,6.3,58,"28,462",Approved,"['Horror', ' Sci-Fi']",86,-
504,Riddick,2013,6.4,49,"174,898",R,"['Action', ' Adventure', ' Sci-Fi']",119,$42.03M
505,Superman Returns,2006,6.1,72,"289,107",PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,$200.08M
506,Dark Skies,2013,6.3,50,"78,525",PG-13,"['Horror', ' Sci-Fi', ' Thriller']",97,$17.41M
